Type,Identification,Field,Locale,Market,Status,Default content,Translated content
Product,glass-polisher-109470,title,en,,,Glaspoleringsmaskin,Glass polisher
Product,glass-polisher-109470,body_html,en,,,"5 roterande rullar, med stöd av varmluftsfläkt, polerar glasen på bara några sekunder.","5 rotating rolls, supported by a hot air fan, polish your glasses within seconds."
Product,glass-polishing-brush-set-4g1k-109472,title,en,,,Set med glaspolerborstar 4G1K,Glass polishing brush set 4G1K
Product,glass-polishing-brush-set-4g1k-109472,body_html,en,,,"Glaspoleringsborstset med 5 mikrofiberrullar, avtagbara poleringsdukar av mikrofiber. För polerade, strimmelfria glas efter maskindisk. För restauranger och hotell som polerar glas dagligen och lägger vikt vid ett rent, professionellt intryck vid bordet.","Glass polishing brush set with 5 microfibre rolls, featuring removable microfibre polishing pads. For polished, streak-free glasses after machine washing. For restaurants and hotels that polish glasses daily and place great importance on a clean, professional appearance at the table."
Product,glass-polishing-brush-xs-109474,title,en,,,Glaspolerborste XS,Glass polishing brush XS
Product,glass-polishing-brush-xs-109474,body_html,en,,,Borsten &auml;r ett optimalt komplement till glaspolermaskinen. &Auml;ven smalare glas poleras p&aring; bara n&aring;gra sekunder.,"With its dimensions, the brush is the optimal addition to the glass polishing machine. It helps to polish even slender glasses within seconds."
Product,dish-washing-deterg-metering-pump-tg300-109522,title,en,,,Doseringspump rengöringsmedel TG300,Dish-washing deterg. metering pump TG300
Product,dish-washing-deterg-metering-pump-tg300-109522,body_html,en,,,Cykelstyrd doseringspump för rengöring för eftermontering i alla standarddiskmaskiner.,Cycle-controlled Cleaning agent dosing pump for retrofitting in all standard dishwashers.
Product,detergent-metering-pump-lwg600-109547,title,en,,,Doseringspump rengöringsmedel LWG600,Detergent metering pump LWG600
Product,detergent-metering-pump-lwg600-109547,body_html,en,,,,"Conductivity-controlled cleaning agent dosing pump for wall assembly, suitable for all standard dishwashers."
Product,assembling-kit-zat-10-109559,title,en,,,Monteringsset ZAT 10,Assembling kit ZAT 10
Product,assembling-kit-zat-10-109559,body_html,en,,,"Monteringssats ZAT 10 av CNS 18/10 – kopplar samman Bartschers till- och avloppsbord med genomskjutningsdiskmaskinen DS Eco500LPR. Perfekt anpassad anslutningslösning för en ren, professionell disklinjeuppställning utan improviserade övergångslösningar.","ZAT 10 mounting kit made of 18/10 stainless steel – connects Bartscher inlet and outlet tables to the DS Eco500LPR pass-through dishwasher. A perfectly fitting connection solution for a clean, professional dishwashing line setup without improvised workarounds."
Product,pressure-booster-pump-set-dss10-109562,title,en,,,Tryckökningspumpsats DSS10,Pressure booster pump set DSS10
Product,pressure-booster-pump-set-dss10-109562,body_html,en,,,För eftermontering i diskmaskiner: med tryckökningspumpen garanteras friktionsfri sköljning även vid ett lågt ledningstryck.,"For retrofitting in dishwashers: the booster pump guarantees smooth rinsing, even at low mains pressure levels."
Product,dishwasher-us-pplus500-lpr-109640,title,en,,,Diskmaskin US PPlus500 LPR,Dishwasher US PPlus500 LPR
Product,dishwasher-us-pplus500-lpr-109640,body_html,en,,,"Allkonstnären bland diskmaskiner passar optimalt för glas och porslin med ett korgmått på 500x500mm. Tack vare den rymliga kammaren finns det plats även för bakplåtar, brickor, köttlådor och mycket mer upp till 600x400mm.","This all-rounder dishwasher is ideal for glasses and crockery. It has a 500 mm x 500 mm basket. Thanks to the spacious interior, baking trays, dinner trays, meat boxes and other items up to 600 mm x 400 mm can be washed in it."
Product,dishwasher-us-pplus500-lpwr-109641,title,en,,,Diskmaskin US PPlus500 LPWR,Dishwasher US PPlus500 LPWR
Product,dishwasher-us-pplus500-lpwr-109641,body_html,en,,,"Allkonstnären bland diskmaskiner passar optimalt för glas och porslin med ett korgmått på 500x500mm. Tack vare den rymliga kammaren finns det plats även för bakplåtar, brickor, köttlådor och mycket mer upp till 600x400mm.","The all-rounder among dishwashers is ideal for glasses and dishes with a basket size of 500x500 mm. Thanks to the spacious interior, there is also space for baking trays, trays, butcher boxes and much more up to 600x400 mm."
Product,dishwasher-base-109688,title,en,,,Diskmaskinsbord,Dishwasher base
Product,dishwasher-base-unit-2-500-109691,title,en,,,Diskmaskin-underrede 2-500,Dishwasher base unit 2-500
Product,dishwasher-base-unit-2-500-109691,body_html,en,,,Diskmaskinens upphöjda position tack vare underkonstruktionen gör arbetsprocesserna mycket bekvämare och därmed snabbare. Diskmaskinens bas som kan låsas erbjuder inte bara förvaringsutrymme utan också säkerhet. För att alltid ha ett snyggt och funktionellt kök kan 2 diskkorgar eller andra diskredskap förvaras i basenheten.,"The raised position of the dishwasher thanks to the substructure makes work processes much more convenient and therefore faster. The Lockable dishwasher base not only offers storage space, but also security. For a tidy and functional kitchen at all times, 2 washing-up baskets or other washing-up utensils can be stored in the base unit."
Product,pre-clearing-table-ds-li1b-109740,title,en,,,Fördisk DS-LI1B,Pre-clearing table DS-LI1B
Product,pre-clearing-table-ds-li1b-109740,body_html,en,,,"Den 1,2 m breda fördisken med ho är avsedd för påbyggnad på vänster sida på Bartscher huvdiskmaskiner DS. På bottenhyllan finns avställningsplats för diskkorgar.",The 1.2 m wide pre-cleaning with sink is designed for left-side attachment to the Bartscher feed-through dishwashers DS. A base shelf offers storage space for dishwasher baskets.
Product,pre-clearing-table-ds-r1b-109741,title,en,,,Fördisk DS-R1B,Pre-clearing table DS-R1B
Product,pre-clearing-table-ds-r1b-109741,body_html,en,,,"Den 1,2 m breda fördisken med ho är avsedd för påbyggnad på höger sida på Bartscher huvdiskmaskiner DS. På bottenhyllan finns avställningsplats för diskkorgar.",The 1.2 m wide pre-cleaning with sink is designed for right-side attachment to the Bartscher feed-through dishwashers DS. A base shelf offers storage space for dishwasher baskets.
Product,pre-clearing-table-ds-li1bas-109742,title,en,,,Fördisk DS-LI1BAS,Pre-clearing table DS-LI1BAS
Product,pre-clearing-table-ds-li1bas-109742,body_html,en,,,"Den 1,2 m breda fördisken med ho och avfallsschakt är avsedd för påbyggnad på vänster sida på Bartscher huvdiskmaskiner DS. På bottenhyllan finns avställningsplats för diskkorgar.",The 1.2 m wide pre-cleaning with sink and waste chute is designed for left-side attachment to the Bartscher feed-through dishwashers DS. A base shelf offers storage space for dishwasher baskets.
Product,pre-clearing-table-ds-r1bas-109743,title,en,,,Fördisk DS-R1BAS,Pre-clearing table DS-R1BAS
Product,pre-clearing-table-ds-r1bas-109743,body_html,en,,,"Den 1,2 m breda fördisken med ho och avfallsschakt är avsedd för påbyggnad på höger sida på Bartscher huvdiskmaskiner DS. På bottenhyllan finns avställningsplats för diskkorgar.",The 1.2 m wide pre-cleaning with sink and waste chute is designed for right-side attachment to the Bartscher feed-through dishwashers DS. A base shelf offers storage space for dishwasher baskets.
Product,discharge-table-ds-700li-109745,title,en,,,Utmatningsbord DS-700LI,Discharge table DS-700LI
Product,discharge-table-ds-700li-109745,body_html,en,,,Det 70 cm breda utmatningsbordet är avsedd för påbyggnad på vänster sida på Bartscher huvdiskmaskiner DS. På bottenhyllan finns avställningsplats för diskkorgar.,The 70 cm wide discharge table is designed for left-side attachment to the Bartscher feed-through dishwashers DS. A base shelf offers storage space for dishwasher baskets.
Product,discharge-table-ds-700r-109746,title,en,,,Utmatningsbord DS-700R,Discharge table DS-700R
Product,discharge-table-ds-700r-109746,body_html,en,,,Det 70 cm breda utmatningsbordet är avsedd för påbyggnad på höger sida på Bartscher huvdiskmaskiner DS. På bottenhyllan finns avställningsplats för diskkorgar.,The 70 cm wide discharge table is designed for right-side attachment to the Bartscher feed-through dishwashers DS. A base shelf offers storage space for dishwasher baskets.
Product,discharge-table-ds-1200li-109747,title,en,,,Utmatningsbord DS-1200LI,Discharge table DS-1200LI
Product,discharge-table-ds-1200li-109747,body_html,en,,,"Det 1,2 m breda utmatningsbordet är avsedd för påbyggnad på vänster sida på Bartscher huvdiskmaskiner DS. På bottenhyllan finns avställningsplats för diskkorgar.",The 1.2 m wide discharge table is designed for left-side attachment to the Bartscher feed-through dishwashers DS. A base shelf offers storage space for dishwasher baskets.
Product,discharge-table-ds-1200r-109749,title,en,,,Utmatningsbord DS-1200R,Discharge table DS-1200R
Product,discharge-table-ds-1200r-109749,body_html,en,,,"Det 1,2 m breda utmatningsbordet är avsedd för påbyggnad på höger sida på Bartscher huvdiskmaskiner DS. På bottenhyllan finns avställningsplats för diskkorgar.",The 1.2 m wide discharge table is designed for right-side attachment to the Bartscher feed-through dishwashers DS. A base shelf offers storage space for dishwasher baskets.
Product,water-filter-system-k3600l-109847,title,en,,,Vattenfiltersystem K3600L,Water filter system K3600L
Product,water-filter-system-k3600l-109847,body_html,en,,,God vattenkvalitet för gott kaffe - vattenfiltersystemet minskar karbonathårdheten och TDS-halten. Den neutraliserade vattensmaken gör också att aromen hos alla kaffespecialiteter kan utvecklas fullt ut.,"Good water quality for the best coffee enjoyment – the water filter system reduces the carbonate hardness and the TDS content. In addition, the neutralised taste of the water allows the aromas of specialty coffees to fully emerge."
Product,replacement-cartridge-ke3600l-109848,title,en,,,Utbytespatron KE3600L,Replacement cartridge KE3600L
Product,replacement-cartridge-ke3600l-109848,body_html,en,,,"Vid behov kan vattenfilterpatronen i vattenfiltersystemet K3600L bytas ut, och är redo att användas direkt.",The water filter cartridge in the water filter system K3600L can be replaced easily when needed and is ready for use straight away.
Product,water-meter-w3b-1-109849,title,en,,,Vattenmätare W3B-1,Water meter W3B-1
Product,water-meter-w3b-1-109849,body_html,en,,,Vattenmätaren är en optimal kombination för vattenfiltersystem K3600L. Den garanterar en permanent god vattenkvalitet tack vare en akustisk signal när patronen behöver bytas ut.,The water meter is ideal for use with the water filter system K3600L. It ensures uninterrupted high water quality thanks to an acoustic signal that sounds when the cartridge needs to be changed.
Product,replacement-filter-candle-f-109879-109857,title,en,,,Reservfilterpatron till 109879,Replacement filter candle f. 109879
Product,replacement-filter-candle-f-109879-109857,body_html,en,,,Ersättningsfilterpatron för enhet 109879 – exakt passande förbrukningsmaterial för kontinuerlig drift av vattenreningssystemet. Regelbundet byte bibehåller filterprestandan och skyddar anslutna enheter mot kalkavlagringar.,Replacement filter cartridge for unit 109879 – precisely fitting consumable for the continuous operation of the water treatment system. Regular replacement maintains filter performance and protects connected appliances from limescale damage.
Product,connecting-set-filter-candle-3-8-109864,title,en,,,Anslutningsset filterpatron 3/8,Connecting set filter candle 3/8
Product,water-filter-kv1-109865,title,en,,,Vattenfilter KV1,Water filter KV1
Product,water-filter-kv1-109865,body_html,en,,,"Bästa vattenkvalitet för bästa kaffeupplevelse. Vattenfiltret består endast av material godkända för livsmedelskontakt, skyddar mot kalkbildning och förlänger därmed maskinens livslängd. Minskningen av skadliga ämnen och elimineringen av klor förbättrar smaken på kaffespecialiteterna.","The best water quality for the best coffee. Made solely from certified food-safe materials, the water filter provides protection against limescale and extends the service life of your machine. The reduction of contaminants and the removal of chlorine improves the taste of your speciality coffees."
Product,full-desalination-system-vk-5000-fb-109877,title,en,,,Helavsaltningssystem VK 5000 FB,Full desalination system VK 5000 FB
Product,full-desalination-system-vk-5000-fb-109877,body_html,en,,,"Fullavsaltningssystem VK 5000 FB f&ouml;r kommersiella diskmaskiner &ndash; 5 000 liters kapacitet per patron vid 10&deg; dH, glasfiberf&ouml;rst&auml;rkt plast, 3/4&quot;-vattenanslutning. Skydd mot kalk- och saltrester f&ouml;r f&ouml;retag som vill s&auml;kerst&auml;lla optimal diskhygien och skona utrustningen p&aring; l&aring;ng sikt.","VK 5000 FB full desalination system for commercial dishwashers &ndash; 5,000-litre capacity per cartridge at 10&deg; dH, glass-fibre-reinforced plastic, 3/4&quot; water connection. Protection against limescale and salt residues for businesses wishing to ensure optimal washing hygiene and long-term protection of equipment."
Product,partial-desalination-system-tkd-13400-fb-109878,title,en,,,Komponentavsaltningssystem TKD 13400 FB,Partial desalination system TKD 13400 FB
Product,partial-desalination-system-tkd-13400-fb-109878,body_html,en,,,"God smak med optimal dricksvattenkvalitet. Genom att förhindra kalkbildning ger delavsaltningen ett skydd för kaffebryggare/-automater, iskubsmaskiner och kombiångugnar. Bakterier dödas och organiska komponenter avlägsnas samtidigt som värdefulla mineraler och spårelement blir kvar.","A great taste with optimum drinking water quality. Thanks to the prevention of limescale formation, the upstream partial desalination system offers protection for coffee machines, automatic coffee machines, ice-cube makers, and combi-steamers. It eliminates bacteria, removes organic constituents, yet retains valuable minerals and trace elements."
Product,water-filter-system-k1600-ew-109881,title,en,,,Vattenfiltersystem K1600 EW,Water filter system K1600 EW
Product,water-filter-system-k1600-ew-109881,body_html,en,,,En hög kvalitet på dricksvattnet ger dryckerna en god smak. Vattenfiltret eliminerar föreningar som orsakar kalkavlagringar. Samtidigt berikas vattnet med mineraliska föreningar.,"A good drinking water quality gives drinks a delicious taste. The water filter eliminates compounds that cause lime deposits. At the same time, the water is enriched with mineral compounds."
Product,connection-kit-weh1350-1500-109884,title,en,,,Anslutningsset WEH1350/1500,Connection kit WEH1350/1500
Product,connection-kit-weh1350-1500-109884,body_html,en,,,"Anslutningsset för diskmaskiner WEH1350/1500 – två PVC-slangar (1/2"" Regenerering 2 m, 3/4"" Vattenanslutning 1,5 m), tilloppstemperatur upp till 40 °C. Komplett set för snabb och säker idrifttagning utan att behöva leta efter passande slangar.","Connection kit for dishwashers WEH1350/1500 – two PVC hoses (1/2"" Regeneration 2 m, 3/4"" Water connection 1.5 m), inlet temperature up to 40 °C. Complete set for quick, safe commissioning without having to search for suitable hoses."
Product,connecting-set-weh1600-109885,title,en,,,Anslutningsset WEH1600,Connecting set WEH1600
Product,connecting-set-weh1600-109885,body_html,en,,,"Anslutningsset WEH1600 med två pansarslangar 3/4"" AG, längd 1 m vardera – för säker vattenanslutning av kompatibla diskmaskiner. Passande set för snabb idrifttagning utan att behöva leta efter separata slangar.","WEH1600 connection set with two 3/4"" male thread reinforced hoses, each 1 m long – for the safe water connection of compatible dishwashers. Suitable set for quick commissioning without the need to search for separate hoses."
Product,water-connection-set-sp5000-kd13400-109886,title,en,,,Vattenanslutningsset SP5000/KD13400,Water connection set SP5000/KD13400
Product,water-connection-set-sp5000-kd13400-109886,body_html,en,,,"Vattenanslutningsset för diskmaskiner SP5000/KD13400 – adapter, vattenmätare och två tilloppsslangar i rostfritt stål 3/4"", 1,5 m. Komplett för snabb och säker idrifttagning utan att behöva leta efter separata delar.","Water connection set for dishwashers SP5000/KD13400 – adapter, water meter and two 3/4"" stainless steel inlet hoses, 1.5 m. Complete set for quick, safe installation without the need to search for separate parts."
Product,water-softening-system-weh1350-109889,title,en,,,Vattenavhärdningsanläggning WEH1350,Water softening system WEH1350
Product,water-softening-system-weh1350-109889,body_html,en,,,Systemskydd för diskmaskiner,System protection for dishwashers
Product,water-meter-w1-8b-109898,title,en,,,Vattenmätare W1-8B,Water meter W1-8B
Product,water-meter-w1-8b-109898,body_html,en,,,Vattenmätaren är en optimal kombination för vattenfiltersystem K1500L. Genom mätning av den redan filtrerade vattenmängden indikeras ett erforderligt filterbyte på ett tillförlitligt sätt.,"This water meter is ideal for use with the water filter system K1500L. By measuring the amount of water already filtered, it can reliably notify the user that a filter change is required."
Product,water-softening-system-weh1500-109901,title,en,,,Vattenavhärdningsanläggning WEH1500,Water softening system WEH1500
Product,water-softening-system-weh1500-109901,body_html,en,,,Vattenavhärdningssystemet reducerar kalkbildningen i kommersiella diskmaskiner och optimerar diskresultatet genom minskad avlagring av hårdhetsbildare på godset. Tack vare det mjukare vattnet minimeras förbrukningen av rengöringsmedel. Den akustiska signalen hänvisar tillförlitligt till en låg fyllnadsnivå i saltbehållaren.,"The water softening system reduces limescale in commercial dishwashers and optimises the results of washing due to fewer deposits of hardeners on the washed items. Thanks to the softer water, the amount of detergent needed is minimised. An acoustic signal indicates a low level in the salt reservoir."
Product,water-filter-kv-150-109902,title,en,,,Vattenfilter KV-150,Water filter KV-150
Product,water-filter-kv-150-109902,body_html,en,,,Många fördelar tack vare användning av vattenfiltret KV-150: Filtreringen av dricksvattnet minskar kalkbildning och förlänger betydande den helautomatiska kaffemaskinens livslängd – det positiva resultatet: lägre servicekostnader. Optimeringen av arom och crema tar kaffenjutningen till en ny nivå för varje kopp du drycker.,"A range of advantages thanks to the use of the Water Filter KV-150: The filtering of the drinking water reduces limescale and significantly increases the lifetime of the coffee maker, resulting in a reduction in service costs. Since the aroma and crema are optimised, it takes enjoyment of each cup of coffee to a new level."
Product,pre-clearing-table-ds-li1b-ske-109940,title,en,,,Fördisk DS-LI1B SKE,Pre-clearing table DS-LI1B SKE
Product,pre-clearing-table-ds-li1b-ske-109940,body_html,en,,,Den fördisk som passar till huvdiskmaskinerna DS är utrustad med en 40-liters-ho och avsedd för påbyggnad på vänster sida. I de 3 praktiska diskkorgsracken kan korgar i 500x500- och 600x500-serien med höjd upp till 145 mm placeras.,"This pre-cleaning unit, which is compatible with the DS feed-through dishwashers, is fitted with a 40-litre sink and is designed for attachment on the left-hand side. 500x500 and 600x500 rinsing racks with a height of up to 145 mm can be stored in the 3 practical rack slots."
Product,water-softening-system-weh1600-109952,title,en,,,Vattenavhärdningsanläggning WEH1600,Water softening system WEH1600
Product,water-softening-system-weh1600-109952,body_html,en,,,Vattenavhärdningssystemet skyddar diskmaskiner i kommersiellt bruk mot förkalkning och optimerar diskresultatet genom minskade kalkavlagringar på disken. Tack vare det mjukare vattnet minimeras förbrukningen av rengöringsmedel.,"This water softening unit provides protection against calcification for commercial dishwashers and optimises washing results by reducing lime deposits on washed items. Thanks to the softer water, the use of detergents is minimised."
Product,pre-clearing-table-ds-re1b-ske-109960,title,en,,,Fördisk DS-RE1B SKE,Pre-clearing table DS-RE1B SKE
Product,pre-clearing-table-ds-re1b-ske-109960,body_html,en,,,Den fördisk som passar till huvdiskmaskinerna DS är utrustad med en 40-liters-ho och avsedd för påbyggnad på höger sida. I de 3 praktiska diskkorgsracken kan korgar i 500x500- och 600x500-serien med höjd upp till 145 mm placeras.,"This pre-cleaning unit, which is compatible with the DS feed-through dishwashers, is fitted with a 40-litre sink and is designed for attachment on the right-hand side. 500x500 and 600x500 baskets with a height of up to 145 mm can be stored in the three practical rack slots."
Product,device-linking-strip-650-110036,title,en,,,Förbindningslist 650,Device linking strip 650
Product,device-linking-strip-650-110036,body_html,en,,,"Serie 650 - spisar för proffsköket. Serien kännetecknas av optimalt energiutnyttjande, kraftfulla produkter och hög rengöringsvänlighet. Modulkonstruktionen går lätt att kombinera och variera. Produktutförandet är helt i kromnickelstål 18/10.","Series 650 - a range of cooking equipment for the professional kitchen. The series is defined by optimum energy use, powerful appliances, and ease of cleaning. The modular design means that the appliances are easy to combine and can be arranged flexibly. The appliance structure consists entirely of 18/10 stainless steel."
Product,drawer-chiller-600s2-110159,title,en,,,Lådkyl 600S2,Drawer chiller 600S2
Product,drawer-chiller-600s2-110159,body_html,en,,,Lådkylen med 2 lådor kan byggas in och passar därför mycket bra mellan skåp i barer och serveringar. Cirkulationsluftkylningen och den perforerade bottnen hos den övre lådan ger en jämn temperaturfördelning.,"This drawer chiller has 2 drawers and can be integrated with other units, making it ideal for installation between cabinets in cafés and bars. The circulation cooling and perforated base of the top drawer ensure even temperature distribution."
Product,mini-refrig-counter-900t2-110256,title,en,,,Mini-kylbänk 900T2,Mini-Refrig. Counter 900T2
Product,mini-refrigerated-counter-900t1s2-110257,title,en,,,Mini-kylbänk 900T1S2,Mini-Refrigerated Counter 900T1S2
Product,mini-refrigerated-counter-900t1s2-110257,body_html,en,,,"Minikylbord 900T1 med ett skåp och två lådor à 1/1 GN, 0–10 °C, varmluft, 260 liter. Självstängande dörr, digital styrning. För restaurangkök som vill kombinera GN-skåp och lådkylning under arbetsytan.","Mini refrigerated counter 900T1 with one cabinet and two 1/1 GN drawers, 0–10 °C, forced air, 260 litres. Self-closing door, digital control. For restaurant kitchens wishing to combine a GN cabinet and drawer cooling beneath the work surface."
Product,cooling-top-gl4-1201-110270,title,en,,,Kylränna GL4-1201,Cooling top GL4-1201
Product,cooling-top-gl4-1201-110270,body_html,en,,,Hygieniskt och rent – glaspanel som hostskydd,Clean and hygienic – a glass top for germ protection
Product,cooling-top-gl4-1401-110271,title,en,,,Kylränna GL4-1401,Cooling top GL4-1401
Product,cooling-top-gl4-1401-110271,body_html,en,,,Hygieniskt och rent - glaspanel som hostskydd,Clean and hygienic – a glass top for germ protection
Product,cooling-top-gl4-1501-110272,title,en,,,Kylränna GL4-1501,Cooling top GL4-1501
Product,cooling-top-gl4-1501-110272,body_html,en,,,Hygieniskt och rent - glaspanel som hostskydd,Hygienic and clean – glass attachment as sneeze guard
Product,cooling-top-gl4-1801-110273,title,en,,,Kylränna GL4-1801,Cooling top GL4-1801
Product,cooling-top-gl4-1801-110273,body_html,en,,,Hygieniskt och rent - glaspanel som hostskydd,Clean and hygienic – a glass top for germ protection
Product,cooling-top-gl4-2001-110274,title,en,,,Kylränna GL4-2001,Cooling top GL4-2001
Product,cooling-top-gl4-2001-110274,body_html,en,,,Hygieniskt och rent - glaspanel som hostskydd,Clean and hygienic – a glass top for germ protection
Product,cooling-top-gl3-1201-110275,title,en,,,Kylränna GL3-1201,Cooling top GL3-1201
Product,cooling-top-gl3-1201-110275,body_html,en,,,Hygieniskt och rent - glaspanel som hostskydd,Hygienic and clean – glass attachment as sneeze guard
Product,cooling-top-gl3-1501-110276,title,en,,,Kylränna GL3-1501,Cooling top GL3-1501
Product,cooling-top-gl3-1501-110276,body_html,en,,,Hygieniskt och rent - glaspanel som hostskydd,Clean and hygienic – a glass top for germ protection
Product,cooling-top-gl3-1801-110278,title,en,,,Kylränna GL3-1801,Cooling top GL3-1801
Product,cooling-top-gl3-1801-110278,body_html,en,,,Hygieniskt och rent - glaspanel som hostskydd,Hygienic and clean – glass attachment as sneeze guard
Product,cooling-top-gl3-2001-110279,title,en,,,Kylränna GL3-2001,Cooling top GL3-2001
Product,cooling-top-gl3-2001-110279,body_html,en,,,Hygieniskt och rent - glaspanel som hostskydd,Clean and hygienic – a glass top for germ protection
Product,universal-basket-350x350x170-110311,title,en,,,Universalkorg 350x350x170,Universal basket 350x350x170
Product,universal-basket-350x350x170-110311,body_html,en,,,"Universalkorg 350 x 350 mm, 143 mm Innerhöjd, vitlackerad, ej stapelbar. För glas och koppar i diskmaskiner med korgmått 350 x 350 mm. Enkel, robust lösning för mindre företag och kaféer.","Universal basket 350 x 350 mm, 143 mm Inside height, white coated, non-stackable. For glasses and cups in dishwashers with a basket size of 350 x 350 mm. A simple, robust solution for smaller establishments and cafés."
Product,universal-basket-350x350x110-110312,title,en,,,Universalkorg 350x350x110,Universal basket 350x350x110
Product,insert-for-saucers-f-dishw-basket-110317,title,en,,,Kaffefatsinsats för diskkorg,Insert for saucers f. dishw.basket
Product,insert-for-saucers-f-dishw-basket-110317,body_html,en,,,Underläggsinsats med 14 fack för kompatibla diskkorgar – håller underläggen säkert sorterade under diskningen och förhindrar stapling och skador. Enkelt tillbehör för kaféer och restauranger som diskade stora mängder underlägg dagligen.,Saucer insert with 14 compartments for compatible dish racks – keeps saucers securely sorted during the wash cycle and prevents stacking and damage. A simple addition for cafés and restaurants that wash large quantities of saucers daily.
Product,cutlery-cylinder-for-dishwashers-110318,title,en,,,Bestickkorg till diskmaskiner,Cutlery cylinder for dishwashers
Product,cutlery-cylinder-for-dishwashers-110318,body_html,en,,,"Bestickhållare av grå plast – passar i vanliga diskmaskinskorgar. Håller besticken säkert sorterade under diskningen. Enkel, beprövad lösning för restauranger, matsalar och cateringföretag med hög bestickgenomströmning.","Cutlery holder made of grey plastic – fits standard dishwasher baskets. Keeps cutlery neatly organised during the wash cycle. A simple, tried-and-tested solution for restaurants, canteens and catering businesses with high cutlery throughput."
Product,cooling-top-unit-sushibar-gl2-180-110335,title,en,,,Kylränna SushiBar GL2-1800,Cooling top unit SushiBar GL2-180
Product,cooling-top-unit-sushibar-gl2-180-110335,body_html,en,,,"F&ouml;r en optimal presentation av matr&auml;tterna, t.ex. sushi eller tapas. Den kraftfulla kylr&auml;nna &ouml;vertygar b&aring;de i funktion och design.",For ideal presentation of your food - e.g. sushi or tapas. The high-performance refrigerated showcase stands out thanks to its functionality and design.
Product,dishwasher-gs-e350-lpr-110350,title,en,,,Diskmaskin GS E350 LPR,Dishwasher GS E350 LPR
Product,dishwasher-gs-e350-lpr-110350,body_html,en,,,"Diskmaskin med god disk- och sköljprestanda och mycket enkel hantering – bäst lämpad för serveringar, barer eller caféer.","This dishwasher has a sound washing and rinsing performance and is really easy to use. It's ideal for use in cafeterias, bars and cafes."
Product,dishwasher-gs-c350-lpr-110361,title,en,,,Diskmaskin GS C350 LPR,Dishwasher GS C350 LPR
Product,dishwasher-gs-c350-lpr-110361,body_html,en,,,Den golvstående diskmaskinen hanteras enkelt och har fokus på det som räknas – renhet och tillförlitlighet i kompakt format.,This floor-standing dishwasher is easy to use and concentrates on what really matters – cleanliness and reliability in a compact form.
Product,dishwasher-gs-e400-lpr-k-110400,title,en,,,Diskmaskin GS E400 LPR K,Dishwasher GS E400 LPR K
Product,dishwasher-gs-e400-lpr-k-110400,body_html,en,,,"Diskmaskin med god disk- och sköljprestanda och mycket enkel hantering – bäst lämpad för serveringar, barer eller caféer. Tack vare kallsköljningen, som aktiveras manuellt, kan glasen användas igen strax efter diskningen.","This dishwasher has a sound washing and rinsing performance and is really easy to use. It's ideal for use in cafeterias, bars and cafes. The cold rinse feature can be engaged manually to enable the quick reuse of glasses after washing."
Product,cooling-top-ed4-1201-110410,title,en,,,Kylränna ED4-1201,Cooling top ED4-1201
Product,cooling-top-ed4-1201-110410,body_html,en,,,"Kylmodul för salladsdiskar – 5 x 1/4 GN, 0–10 °C, statisk kylning med kylbehållare, digital temperaturreglering, automatisk upptiningsfunktion. Rostfritt lock ingår, GN-behållare säljs separat. För restaurangkök som vill uppgradera sin förberedelseavdelning med kylutrustning.","Refrigerated unit for salad bars – 5 x 1/4 GN, 0–10 °C, static cooling with cooling tray, digital Temperature control, Automatic defrosting function. Stainless steel lid included, GN containers sold separately. For restaurant kitchens retrofitting their preparation area with refrigeration."
Product,cooling-top-ed4-1501-110414,title,en,,,Kylränna ED4-1501,Cooling top ED4-1501
Product,cooling-top-ed4-1501-110414,body_html,en,,,"Kylmodul ED4 för salladsdiskar – 7 x 1/4 GN, 0–10 °C, statisk kylning med kylbehållare, digital temperaturreglering, lock i rostfritt stål. GN-behållare säljs separat. För restaurangkök som vill eftermontera en kylmodul med sju fack i sin förberedelseavdelning.","ED4 cooling unit for salad bars – 7 x 1/4 GN, 0–10 °C, static cooling with cooling tray, digital temperature control, stainless steel lid. GN containers sold separately. For restaurant kitchens looking to retrofit their preparation area with a seven-compartment cooling unit."
Product,cooling-top-ed3-1201-110420,title,en,,,Kylränna ED3-1201,Cooling top ED3-1201
Product,cooling-top-ed3-1201-110420,body_html,en,,,"Kylmodul ED3 för salladsdiskar – 3 x 1/3 GN + 1 x 1/2 GN, 0–10 °C, statisk kylning med kylbehållare och lock i rostfritt stål. Digital styrning, automatisk avfrostningsfunktion. GN-behållare säljs separat. För restaurangkök som vill uppgradera sin förberedelseavdelning med kylutrustning.","ED3 cooling unit for salad bars – 3 x 1/3 GN + 1 x 1/2 GN, 0–10 °C, static cooling with cooling tray and stainless steel lid. Digital control, automatic defrost function. GN containers sold separately. For restaurant kitchens looking to upgrade their preparation area with refrigeration."
Product,cooling-top-ed3-1501-110422,title,en,,,Kylränna ED3-1501,Cooling top ED3-1501
